title,thumbnail,description,publishedAt,tags
"As Trump Takes a Victory Lap, the Crypto Faithful Kiss the Ring","https://media.wired.com/photos/672bda0a90a94384370310f4/191:100/w_1280,c_limit/business_crypto_faithful_trump.jpg",The crypto industry is celebrating the return of Donald Trump to the White House in anticipation of an easier ride under his regime.,2024-11-06T21:11:39Z,[]
Trumpcoin Launches With a Whimper,"https://media.wired.com/photos/670fa4f537cad85df458a390/191:100/w_1280,c_limit/GettyImages-1300319936.jpg",Investors scooped up only a small number of the Trump family's new World Liberty Financial crypto tokens after website reliability issues interfered with a launch event.,2024-10-16T13:53:23Z,[]
"Meet ZachXBT, the Masked Vigilante Tracking Down Billions in Crypto Scams and Thefts","https://media.wired.com/photos/671803d2124551b4eaed68ad/191:100/w_1280,c_limit/security_zachxbt_crypto_vigilante.jpg","He just untangled a $243 million bitcoin theft, what may be the biggest-ever crypto heist to target a single victim. And he has never shown his face.",2024-10-24T09:00:00Z,['Bitcoin']
Peter Todd Was ‘Unmasked’ As Bitcoin Creator Satoshi Nakamoto. Now He’s In Hiding,"https://media.wired.com/photos/6716870e6874cb5feda0798e/191:100/w_1280,c_limit/102124-bitcoin-satoshi-an.jpg","Peter Todd has gone underground after an HBO documentary named him as the creator of Bitcoin, Satoshi Nakamoto, whose real identity has long remained a mystery.",2024-10-22T11:33:59Z,['Bitcoin']
"In the Kentucky Mountains, a Bitcoin Mining Dream Becomes the Stuff of Nightmares","https://media.wired.com/photos/670981994729e98a3f0fd49d/191:100/w_1280,c_limit/Kentucky-Farmers-Crypto-Mining-Duped-Business.jpg","When bitcoin was on a hot streak, owners of small industrial facilities in Kentucky struck up crypto mining partnerships with Chinese companies. Then things fell apart.",2024-10-21T11:00:00Z,['Bitcoin']
Unmasking Bitcoin Creator Satoshi Nakamoto—Again,"https://media.wired.com/photos/6703eb3979f13fda7f04485b/191:100/w_1280,c_limit/Satoshi-Nakamoto-biz-1341874258.jpg","A new HBO documentary takes a swing at uncovering the real identity of Satoshi Nakamoto, inventor of Bitcoin. But without incontrovertible proof, the myth lives on.",2024-10-09T01:00:00Z,['Bitcoin']
Trump’s crypto website crashed after its token went on sale,https://cdn.vox-cdn.com/thumbor/VnGw9t2CWLMuJgal2cKUuFGoEfU=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/23951553/VRG_Illo_STK175_L_Normand_DonaldTrump_Negative.jpg,"A co-founder of World Liberty Financial, Trump’s decentralized finance platform, claimed more than 100,000 accredited investors signed up for the whitelist, but most haven’t bought the token.",2024-10-15T22:17:14Z,[]
The FBI secretly created a coin to investigate crypto pump-and-dump schemes,https://cdn.vox-cdn.com/thumbor/PbA87bIwD6q8J3sxWMWsMkDAslU=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/25535403/STK004_FBI_CVIRGINIA_A.jpg,"NexFundAI, the FBI’s Ethereum-based token, was used to investigate price manipulation in crypto markets, resulting in more than a dozen charges brought by the SEC and DOJ.",2024-10-10T17:58:33Z,['Ethereum']
The future of crypto regulation comes down to one unpopular man,https://cdn.vox-cdn.com/thumbor/tbPUbEarve3IQVCN6dBJXVrZR_k=/0x0:2040x1360/1200x628/filters:focal(1146x421:1147x422)/cdn.vox-cdn.com/uploads/chorus_asset/file/25693278/247224_Election_Package__Mr.Nelson_design_Gensler.jpg,"As part of his overtures to the crypto industry, Donald Trump has promised to fire embattled SEC chair Gary Gensler on ‘day one.’",2024-10-29T13:00:00Z,[]
Anthropic’s Claude AI chatbot now has a desktop app,https://cdn.vox-cdn.com/thumbor/UMBzTIDhPEBx1ObYAmlzwXsra9Q=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/25263505/STK_414_AI_C.jpg,Anthropic’s Claude AI chatbot now has an app on Windows and macOS. The startup also added support for dictation on Claude’s mobile apps.,2024-10-31T18:47:16Z,[]
Amazon’s CEO defends return-to-office policy,https://cdn.vox-cdn.com/thumbor/QsO6PR6ldBWvL5Rutx5b7EamGak=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/23951563/VRG_Illo_STK181_L_Normand_AndyJassy_Neutral.jpg,"Amazon CEO Andy Jassy said making employees return to the office five days per week isn’t a “backdoor layoff,” according to a meeting transcript seen by Reuters.",2024-11-05T23:15:37Z,[]
WordPress co-founder asks court to dismiss WP Engine’s lawsuit,https://cdn.vox-cdn.com/thumbor/NhK0m7qvXWPvgzTCeAfLesVSmRY=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/25654312/STK302_WORDPRESS_B.jpg,WordPress cofounder and Automattic CEO Matt Mullenweg has filed a motion to dismiss WP Engine’s lawsuit against it.,2024-10-31T16:31:46Z,[]
Netflix’s deal with Universal will add more live-action films,https://cdn.vox-cdn.com/thumbor/TnvA-t2AqmZ5X1_6ZRpynwmrcM0=/0x0:3587x1500/1200x628/filters:focal(2178x824:2179x825)/cdn.vox-cdn.com/uploads/chorus_asset/file/24560453/2530_FP_00245.jpg,Netflix and Universal have reached a licensing agreement that will send the studio’s live-action films to Netflix starting in 2027.,2024-10-29T18:07:17Z,[]
