id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote
1,Bitcoin,BTC,bitcoin,11818,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19790568.0,19790568.0,False,,1,,,,2024-12-04T05:14:00.000Z,"{'USD': {'price': 96135.45490749259, 'volume_24h': 69015752373.5936, 'volume_change_24h': 1.3632, 'percent_change_1h': 0.29678219, 'percent_change_24h': 0.18335003, 'percent_change_7d': 3.99026333, 'percent_change_30d': 39.18649592, 'percent_change_60d': 54.82572499, 'percent_change_90d': 68.21389083, 'market_cap': 1902575257557.6658, 'market_cap_dominance': 53.8836, 'fully_diluted_market_cap': 2018844553057.34, 'tvl': None, 'last_updated': '2024-12-04T05:14:00.000Z'}}"
1027,Ethereum,ETH,ethereum,9627,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120441990.11961582,120441990.11961582,True,,2,,,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 3676.163336432631, 'volume_24h': 43254063915.9343, 'volume_change_24h': -1.3598, 'percent_change_1h': 0.20265294, 'percent_change_24h': 0.75590346, 'percent_change_7d': 8.54725516, 'percent_change_30d': 48.86920929, 'percent_change_60d': 52.446511, 'percent_change_90d': 52.55694745, 'market_cap': 442764428244.7128, 'market_cap_dominance': 12.5399, 'fully_diluted_market_cap': 442764428244.71, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
52,XRP,XRP,xrp,1460,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,57051491087.0,99986947886.0,False,,3,,,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 2.5829418934020234, 'volume_24h': 42155778081.21566, 'volume_change_24h': -5.5743, 'percent_change_1h': 1.07768723, 'percent_change_24h': -4.77495415, 'percent_change_7d': 89.74755095, 'percent_change_30d': 411.02294144, 'percent_change_60d': 386.11159009, 'percent_change_90d': 367.01224986, 'market_cap': 147360686409.66443, 'market_cap_dominance': 4.1735, 'fully_diluted_market_cap': 258294189340.2, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
825,Tether USDt,USDT,tether,106576,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,134983904742.73035,138194367894.35284,True,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",4,,,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 1.000563122589425, 'volume_24h': 238296943709.58478, 'volume_change_24h': 11.4086, 'percent_change_1h': 0.01257858, 'percent_change_24h': 0.03775694, 'percent_change_7d': 0.09566027, 'percent_change_30d': 0.13314781, 'percent_change_60d': 0.0630294, 'percent_change_90d': 0.07510387, 'market_cap': 135059917228.69975, 'market_cap_dominance': 3.8244, 'fully_diluted_market_cap': 138272188264.65, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
5426,Solana,SOL,solana,802,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,475244172.5596208,589416548.9571812,True,,5,,,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 239.30865397548155, 'volume_24h': 8827520262.123415, 'volume_change_24h': 30.9949, 'percent_change_1h': 0.77038894, 'percent_change_24h': 5.04286557, 'percent_change_7d': 4.53657608, 'percent_change_30d': 47.20354337, 'percent_change_60d': 67.39541722, 'percent_change_90d': 80.28639026, 'market_cap': 113730043244.93434, 'market_cap_dominance': 3.2204, 'fully_diluted_market_cap': 141052480961.82, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
1839,BNB,BNB,bnb,2293,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144009448.0,144009448.0,False,,6,,,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 753.6703974871642, 'volume_24h': 5334354736.091409, 'volume_change_24h': 109.6393, 'percent_change_1h': 0.64050642, 'percent_change_24h': 15.45741883, 'percent_change_7d': 22.4554537, 'percent_change_30d': 34.57842693, 'percent_change_60d': 35.27812525, 'percent_change_90d': 49.36330503, 'market_cap': 108535657916.06711, 'market_cap_dominance': 3.0739, 'fully_diluted_market_cap': 108535657916.07, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
74,Dogecoin,DOGE,dogecoin,1116,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,147055996383.70523,147055996383.70523,True,,7,,,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 0.4161530416721988, 'volume_24h': 9530509574.330015, 'volume_change_24h': -8.7643, 'percent_change_1h': 0.1012954, 'percent_change_24h': -1.53461153, 'percent_change_7d': 7.25337858, 'percent_change_30d': 175.51697058, 'percent_change_60d': 283.1628887, 'percent_change_90d': 329.53492764, 'market_cap': 61197800191.2148, 'market_cap_dominance': 1.7332, 'fully_diluted_market_cap': 61197800191.21, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
2010,Cardano,ADA,cardano,1380,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities']",45000000000.0,35085884197.24636,44994868463.33723,False,,8,,,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 1.2162866529854273, 'volume_24h': 4611008742.426541, 'volume_change_24h': -25.1429, 'percent_change_1h': 0.15686804, 'percent_change_24h': -5.29046067, 'percent_change_7d': 27.54574685, 'percent_change_30d': 266.31565052, 'percent_change_60d': 245.01712818, 'percent_change_90d': 278.47148156, 'market_cap': 42674492657.30307, 'market_cap_dominance': 1.2086, 'fully_diluted_market_cap': 54732899384.34, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
3408,USDC,USDC,usd-coin,23541,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,40130900730.18125,40130900730.18125,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",9,,,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 1.0000051890385082, 'volume_24h': 13429794134.483088, 'volume_change_24h': 2.6327, 'percent_change_1h': 0.00472568, 'percent_change_24h': 0.0029911, 'percent_change_7d': -0.00735939, 'percent_change_30d': 0.00486399, 'percent_change_60d': -0.00730304, 'percent_change_90d': 0.01638741, 'market_cap': 40131108970.97051, 'market_cap_dominance': 1.1366, 'fully_diluted_market_cap': 40131108970.97, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
1958,TRON,TRX,tron,1079,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities']",,86290607411.5845,86290624572.95209,True,,10,,,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 0.40445496420455784, 'volume_24h': 13905224894.44997, 'volume_change_24h': 532.8166, 'percent_change_1h': 2.31720797, 'percent_change_24h': 76.81563248, 'percent_change_7d': 105.91856258, 'percent_change_30d': 144.58533498, 'percent_change_60d': 160.68486589, 'percent_change_90d': 170.51143581, 'market_cap': 34900664531.841965, 'market_cap_dominance': 0.9884, 'fully_diluted_market_cap': 34900671472.84, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
