name,symbol,market_cap,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d
Bitcoin,BTC,1884279913663.0164,95226.76566537001,64600351498.59447,-0.96407493,-0.84413269,4.11924835
Ethereum,ETH,414019194193.9621,3437.7672023136042,41883141684.54424,-2.55065791,4.03245116,8.2661134
Tether USDt,USDT,132612897086.2092,1.0001699019802142,171471240134.44403,0.01062144,-0.02953414,-0.04576105
Solana,SOL,114185942213.52657,240.53216578730996,5728722572.562949,-1.22646432,-2.16890277,-0.11071396
BNB,BNB,92597820972.86537,642.9945550042235,2727589468.2768073,-1.12734056,-0.5228381,3.32323089
XRP,XRP,82095227815.42825,1.4402961566369246,11593472195.81645,1.3988961,7.89293538,26.43228136
Dogecoin,DOGE,59851766142.51906,0.4073201096166332,9111485233.252274,-2.27324957,-0.58527927,9.5215703
USDC,USDC,38728669948.25312,1.0000199220213457,11388500408.596136,-0.00519738,0.01199807,-0.00926231
Cardano,ADA,34729464831.59516,0.9907720809640899,3250197740.1040897,-1.05244886,2.65953974,31.76016492
Avalanche,AVAX,17278165904.322548,42.22323731879589,2003932726.8979492,-2.5407528,7.93470194,18.60280814
TRON,TRX,17150060621.644547,0.1986421184719844,1147603433.8775237,-0.60515198,-2.62591776,-3.14831693
Toncoin,TON,15478100936.282804,6.0769803082633045,599696648.0744466,-1.8485655,0.32307546,10.11140534
Stellar,XLM,15309553494.243074,0.5099042781750794,6253812854.999062,2.57734211,8.72619934,122.32644953
Shiba Inu,SHIB,14989135443.29975,2.5437205769263676e-05,1486038210.442613,-0.47205826,2.80090158,2.26987553
Polkadot,DOT,12813563382.798216,8.415910160833858,1501947768.6511176,-1.88905013,1.22471341,42.45206936
Chainlink,LINK,11323136797.948055,18.06355161789211,1269868849.3445022,-2.88352136,9.19318634,17.01604246
Bitcoin Cash,BCH,9942674480.035082,502.3262865232413,897785208.9663503,-2.60193579,0.22999603,13.05633668
Sui,SUI,9157964044.32258,3.218118881086159,1440738761.7499473,-2.96144066,-1.70211202,-13.92721313
Pepe,PEPE,8042268740.5182905,1.9116857192241577e-05,2839295894.113772,-2.75437377,-1.24081894,-9.08773711
NEAR Protocol,NEAR,8041144066.155892,6.602433227834284,1350824031.6619933,-1.91036624,4.47402194,7.2577767
UNUS SED LEO,LEO,7639585430.3879595,8.261301881462526,1577409.42563521,-0.46120527,-3.78702834,7.58511261
Litecoin,LTC,7098986462.211744,94.35670036403312,989623757.0893093,-1.70094512,0.94770275,5.89777035
Uniswap,UNI,7010478466.054835,11.675858942294662,912071464.5245361,-4.16779316,13.36760272,26.34110461
Aptos,APT,6459399715.42244,12.103008743820084,659565236.8992854,-3.54119007,3.09169204,-0.04717474
Internet Computer,ICP,5560922051.105676,11.716091565125206,429717890.61210096,-2.54772238,10.68190271,24.58441575
Dai,DAI,5362765846.108753,0.9995122702887868,160143599.53994063,-0.01105205,-0.02241155,-0.06196815
Hedera,HBAR,5222810900.896115,0.13672686223700747,606246542.7992749,-1.84703085,-2.00509122,-1.30228941
