title,thumbnail,description,publishedAt,tags
Meta Finally Breaks Its Silence on Pig Butchering,"https://media.wired.com/photos/673e453447963b965f39dac1/191:100/w_1280,c_limit/Security_PigButcheringMeta_GettyImages.jpg",The company gave details for the first time on its approach to combatting organized criminal networks behind the devastating scams.,2024-11-21T18:00:00Z,['Mina']
The Crypto Industry Is Helping Trump Pick SEC Chair,"https://media.wired.com/photos/6745db10e149b18ca8e2b8d8/191:100/w_1280,c_limit/GettyImages-93181618.jpg","The president-elect's transition team is consulting with industry leaders as it vets potential replacements for outgoing chair Gary Gensler, sources tell WIRED.",2024-11-26T16:23:34Z,['Dent']
"Teen streamer dumped a meme coin for $30K, then things got weird",https://cdn.vox-cdn.com/thumbor/ejx8--qQQFRjwwm-VssKCmvYabM=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/23587766/acastro_220524_STK428_0002.jpg,"A teen streamer was reportedly doxxed after he dumped a meme coin he created, called Quant, for $30,000.",2024-11-22T15:58:10Z,['Quant']
"Microsoft is the mystery AI company licensing HarperCollins books, says Bloomberg",https://cdn.vox-cdn.com/thumbor/5X0IGMLrTUsRnyo97W-GRqDZBiA=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/24347781/STK095_Microsoft_03.jpg,"Microsoft will train a new AI model on licensed nonfiction titles from HarperCollins, according to a report from Bloomberg.",2024-11-19T21:37:10Z,"['ORDI', 'Mode']"
NBA settles with WBD as it prepares to stream games on Amazon in 2025,https://cdn.vox-cdn.com/thumbor/O9EYOriTeCNsR-duTY6Ip0x43AU=/0x0:7144x4762/1200x628/filters:focal(3572x2381:3573x2382)/cdn.vox-cdn.com/uploads/chorus_asset/file/25739364/2184281898.jpg,Warner Bros. Discovery will settle its lawsuit against the NBA as it reaches a new deal that moves Inside the NBA to ESPN next year.,2024-11-18T15:04:22Z,['Sui']
Pump.fun Shuts Down Its Bonkers Live Streaming Service,https://gizmodo.com/app/uploads/2024/11/PumpFunFish.jpg,The crypto website that played host to the worst the internet had to offer has shut down its video component.,2024-11-26T14:50:42Z,['Bonk']
Tron Crypto Founder Spends $6 Million on a Banana and Says He Plans to Eat It,https://gizmodo.com/app/uploads/2024/11/Justin-Sun-founder-of-Tron.jpg,"It's one banana, Michael, how much could it cost? Six million dollars?",2024-11-21T20:05:31Z,"['TRON', 'SIX']"
Pump.fun Is All of the Internet’s Worst Impulses on One Site,https://gizmodo.com/app/uploads/2024/11/pumpfunkid.jpg,What do you get when you mix unmoderated livestreams with cryptocurrency? You get Pump.fun.,2024-11-25T16:20:51Z,"['Mode', 'Ren']"
"Billionaire Marc Benioff, Owner of Time, Uses Magazine to Promote His AI Software",https://gizmodo.com/app/uploads/2024/11/Saleforce-CEO-Marc-Benioff-at-a-conference-in-San-Francisco-.jpg,Benioff wants you to get excited for the AI revolution.,2024-12-01T17:10:28Z,"['Prom', 'ARC']"
Former Meta exec says the company's failed crypto project was '100% a political kill' by regulators,https://i.insider.com/674dfdfe9e9761932b4a3460?width=1200&format=jpeg,"David Marcus, who led the Facebook project, reflected on its demise in a social media post titled ""How Libra Was Killed.""",2024-12-02T20:06:03Z,"['DIA', 'ARC']"
A crypto investor just bought the duct-taped banana art for 6 times its estimate,https://i.insider.com/673ea0d2fa0140cdd5649be3?width=1200&format=jpeg,"The buyer, Justin Sun, says he plans to ""personally eat the banana as part of this unique artistic experience"" in the coming days.",2024-11-21T03:54:39Z,"['JUST', 'IQ', 'UNI']"
The Grinch loves knee surgery. That's it. That's the meme.,https://i.insider.com/674e0a2be45a68623a2772cb?width=1200&format=jpeg,An absurd meme about the Grinch is burning up middle schools. It's also inevitably spawned a meme coin. Doesn't make sense? I'll try to explain.,2024-12-02T20:08:31Z,['XPLA']
"Stock market today: S&P 500, Dow end at record as investors shake off tariff fears, digest Fed minutes",https://i.insider.com/674637c69f2901eb60371dd1?width=1200&format=jpeg,Stock markets recovered on Tuesday after Trump's latest tariff plans briefly derailed equities.,2024-11-26T21:21:11Z,['Ark']
Trump said he wants 100% tariffs on some of the countries trying to move away from the dollar. That could hurt the US.,https://i.insider.com/663d02fbb4abc992e8c77b01?width=1200&format=jpeg,"The US can't reduce its trade deficit and increase the global dominance of the dollar at the same time, said an economist.",2024-12-02T08:47:28Z,['Mina']
"Trump's trade plan could mean higher prices, and avoiding the impact won't be simple",https://i.insider.com/67446930fa0140cdd56527fc?width=1156&format=jpeg,"Trump's tariffs, ranging from 20% to 60%, will drive up prices and inflation, leaving consumers with only a few options to prepare.",2024-11-25T12:38:24Z,[]
Coinbase Onramp Now Supports Buying Crypto With Apple Pay,https://images.macrumors.com/t/oGaMh3okIThlxc4JmTw-y6qCBz8=/1800x/article-new/2024/12/coinbase-apple-pay.jpg,"Cryptocurrency platform Coinbase today announced the launch of a new feature designed to let people buy cryptocurrency using Apple Pay.





‌Apple Pay‌ is available for all fiat-to-crypto purchases (aka paper currencies like the U.S. dollar) in Coinbase Onra…",2024-12-02T19:34:03Z,"['Amp', 'Avail', 'Ren', 'RAMP', 'AVA']"
Coinbase Expands Crypto Buying Reach With Apple Pay Integration,https://a.fsdn.com/sd/topics/bitcoin_64.png,"Major cryptocurrency exchange Coinbase has integrated Apple Pay into its Onramp service, enabling third-party apps to offer direct cryptocurrency purchases through Apple's payment system. 

The move significantly streamlines the traditionally complex process …",2024-12-03T04:45:00Z,"['Amp', 'Ren', 'RAMP']"
