name,symbol,market_cap,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d
Bitcoin,BTC,1902575257557.6658,96135.45490749259,69015752373.5936,0.29678219,0.18335003,3.99026333
Ethereum,ETH,442764428244.7128,3676.163336432631,43254063915.9343,0.20265294,0.75590346,8.54725516
XRP,XRP,147360686409.66443,2.5829418934020234,42155778081.21566,1.07768723,-4.77495415,89.74755095
Tether USDt,USDT,135059917228.69975,1.000563122589425,238296943709.58478,0.01257858,0.03775694,0.09566027
Solana,SOL,113730043244.93434,239.30865397548155,8827520262.123415,0.77038894,5.04286557,4.53657608
BNB,BNB,108535657916.06711,753.6703974871642,5334354736.091409,0.64050642,15.45741883,22.4554537
Dogecoin,DOGE,61197800191.2148,0.4161530416721988,9530509574.330015,0.1012954,-1.53461153,7.25337858
Cardano,ADA,42674492657.30307,1.2162866529854273,4611008742.426541,0.15686804,-5.29046067,27.54574685
USDC,USDC,40131108970.97051,1.0000051890385082,13429794134.483088,0.00472568,0.0029911,-0.00735939
TRON,TRX,34900664531.841965,0.40445496420455784,13905224894.44997,2.31720797,76.81563248,105.91856258
Avalanche,AVAX,21435703980.34621,52.36970502392104,2205051648.717732,0.19739988,0.75613856,23.21351316
Toncoin,TON,18203723370.20846,7.138946542702363,684904139.0097884,3.37037527,6.66278301,15.09099
Shiba Inu,SHIB,17686192019.97033,3.0014443249370765e-05,3408034768.9881945,-0.00975795,1.72004035,22.92148008
Stellar,XLM,15458721134.144812,0.5133590469291317,3109646274.9835215,0.25089512,-7.7690488,19.20156378
Polkadot,DOT,15287039058.491467,10.022851391596786,1631622380.443894,0.22075526,0.29530198,25.14762967
Chainlink,LINK,15181748913.921019,24.21911083916129,2996699735.363924,0.48775708,-2.19885574,37.07114652
Hedera,HBAR,12637410697.93665,0.3308321034249503,5352263270.1142645,-0.41878113,-7.85482341,148.72767082
Bitcoin Cash,BCH,11353773844.27552,573.5024840359271,2030844969.7734966,0.12008764,5.13966227,16.24253452
Sui,SUI,10814217776.342983,3.6938092906245914,3528341272.231834,0.37507546,8.48032251,12.29027814
Litecoin,LTC,9842360142.822449,130.76686557226282,2422033675.0408187,0.87885984,-0.71834473,39.51522263
Uniswap,UNI,9030034247.164677,15.037949681701905,1109510652.3311856,1.12765003,3.88842028,31.7371896
NEAR Protocol,NEAR,9000039982.78815,7.389764758014669,1202413785.6130269,0.07912026,0.67280793,14.0851458
UNUS SED LEO,LEO,8881007656.621935,9.60492355157705,2201743.1447362,2.5057519,8.73819252,20.09758636
Pepe,PEPE,8632712954.299473,2.0520371309840286e-05,3489035956.235225,0.15262451,0.05920759,12.89403243
Aptos,APT,7590398777.406457,14.185425294683231,1003665972.4457524,-1.18142021,1.03681683,19.68480906
Internet Computer,ICP,7048772171.716253,14.827692753097468,513613507.6049537,0.82678229,5.24745432,33.06828717
VeChain,VET,5897644231.223665,0.07282387148922774,1294503307.8448956,2.17991703,9.87674433,81.50626756
POL (ex-MATIC),POL,5784469625.1339035,0.7132184139570487,1500189473.6628523,-0.0438072,1.63846764,33.27964665
Dai,DAI,5366233141.338416,1.0001585047555175,176266987.98233473,0.01356008,0.02421534,0.04402508
Ethereum Classic,ETC,5329995940.228708,35.57956059615102,1593311554.6455615,-0.01932727,4.56274937,21.26898889
Cronos,CRO,5304711368.958299,0.19963868248645453,167229468.3400411,-0.53688238,-0.84188105,16.85494281
Artificial Superintelligence Alliance,FET,4799223673.28771,1.9701226466471307,848066195.7409296,0.90807064,4.012785,43.24497548
Bittensor,TAO,4801837408.406977,650.5729637009421,546493777.48773,2.58231334,6.00640095,18.29993267
Filecoin,FIL,4686306883.155194,7.713861632545916,1416020995.0982635,-0.80704395,3.49588425,42.66685376
Render,RENDER,4633878891.176389,8.951055940636255,1288631793.4576964,1.24630771,-1.80318081,20.94670724
Arbitrum,ARB,4420034243.679825,1.0787517916637548,1374102628.5877793,0.29678251,1.97925791,19.42265602
Algorand,ALGO,4332840284.204058,0.5223861406698913,2212733686.9172244,-0.61889039,-8.40727366,79.48904297
